Visited,Date visited,Place name,Type,Agency,State(s),Notes,Official page
,,Fossil Butte,NM,NPS,WY,,https://www.nps.gov/fobu/
,,Frances Perkins,NM,NPS,ME,,https://nps.gov/frpe/
,,Franklin Delano Roosevelt Memorial,NMEM,NPS,DC,,https://www.nps.gov/frde/
,,Frederick Douglass,NHS,NPS,DC,,https://www.nps.gov/frdo/
,,Frederick Law Olmsted,NHS,NPS,MA,,https://www.nps.gov/frla/
,,Fredericksburg & Spotsylvania County Battlefields Memorial,NMP,NPS,VA,,https://www.nps.gov/frsp/
,,Freedom Riders,NM,NPS,AL,,https://www.nps.gov/frri/
,,Friendship Hill,NHS,NPS,PA,,https://www.nps.gov/frhi/
,,Gates of the Arctic,NP,NPS,AK,,https://www.nps.gov/gaar/
,,Gates of the Arctic,NPRES,NPS,AK,,https://www.nps.gov/gaar/
,,Gateway,NRA,NPS,"NY, NJ",,https://www.nps.gov/gate/
,,Gateway Arch,NP,NPS,MO,,https://www.nps.gov/jeff/
,,Gauley River,NRA,NPS,WV,,https://www.nps.gov/gari/
,,General Grant,NMEM,NPS,NY,,https://www.nps.gov/gegr/
,,George Rogers Clark,NHP,NPS,IN,,https://www.nps.gov/gero/
,,George Washington Birthplace,NM,NPS,VA,,https://www.nps.gov/gewa/
,,George Washington Carver,NM,NPS,MO,,https://www.nps.gov/gwca/
,,George Washington Memorial,PKWY,NPS,"VA, MD, DC",,https://www.nps.gov/gwmp/
,,Gettysburg,NMP,NPS,PA,,https://www.nps.gov/gett/
,,Giant Sequoia,NM,USFS,CA,,https://www.fs.usda.gov/detail/sequoia/home/?cid=stelprdb5394941
,,Gila Box Riparian,NCA,BLM,AZ,,https://www.blm.gov/national-conservation-lands/arizona/gilabox
,,Gila Cliff Dwellings,NM,NPS,NM,,https://www.nps.gov/gicl/
,,Glacier,NP,NPS,MT,,https://www.nps.gov/glac/
,,Glacier Bay,NP,NPS,AK,,https://www.nps.gov/glba/
,,Glacier Bay,NPRES,NPS,AK,,https://www.nps.gov/glba/
,,Glen Canyon,NRA,NPS,"AZ, UT",,https://www.nps.gov/glca/
,,Gold Butte,NM,BLM,NV,,https://www.blm.gov/programs/national-conservation-lands/nevada/gold-butte
,,Golden Gate,NRA,NPS,CA,,https://www.nps.gov/goga/
,,Golden Spike,NHP,NPS,UT,,https://www.nps.gov/gosp/
,,Governor’s Island,NM,NPS,NY,,https://www.nps.gov/gois/
,,Grand Canyon,NP,NPS,AZ,,https://www.nps.gov/grca/
,,Grand Canyon-Parashant,NM,"BLM, NPS",AZ,,https://www.blm.gov/office/grand-canyon-parashant-national-monument
,,Grand Portage,NM,NPS,MN,,https://www.nps.gov/grpo/
,,Grand Staircase-Escalante,NM,BLM,UT,,https://www.blm.gov/programs/national-conservation-lands/utah/grand-staircase-escalante-national-monument
,,Grand Teton,NP,NPS,WY,,https://www.nps.gov/grte/
,,Grant-Kohrs Ranch,NHS,NPS,MT,,https://www.nps.gov/grko/
,,Great Basin,NP,NPS,NV,,https://www.nps.gov/grba/
,,Great Egg Harbor,S&RR,NPS,NJ,,https://www.nps.gov/greg/
,,Great Sand Dunes,NP,NPS,CO,,https://www.nps.gov/grsa/
,,Great Sand Dunes,NPRES,NPS,CO,,https://www.nps.gov/grsa/
,,Great Smoky Mountains,NP,NPS,"TN, NC",,https://www.nps.gov/grsm/
,,Greenbelt,P,NPS,MD,,https://www.nps.gov/gree/
,,Guadalupe Mountains,NP,NPS,TX,,https://www.nps.gov/gumo/
,,Guilford Courthouse,NMP,NPS,NC,,https://www.nps.gov/guco/
,,Gulf Islands,NS,NPS,"MS, FL",,https://www.nps.gov/guis/
,,Gunnison Gorge,NCA,BLM,CO,,https://www.blm.gov/programs/national-conservation-lands/colorado/gunnison-gorge-nca
,,Hagerman Fossil Beds,NM,NPS,ID,,https://www.nps.gov/hafo/
,,Haleakalā,NP,NPS,HI,,https://www.nps.gov/hale/
,,Hamilton Grange,NMEM,NPS,NY,,https://www.nps.gov/hagr/
,,Hampton,NHS,NPS,MD,,https://www.nps.gov/hamp/
,,Hanford Reach,NM,FWS,WA,,https://www.fws.gov/refuge/hanford_reach/
,,Harpers Ferry,NHP,NPS,"WV, MD, VA",,https://www.nps.gov/hafe/
,,Harriet Tubman,NHP,NPS,NY,,https://nps.gov/hart
,,Harriet Tubman Underground Railroad,NM,NPS,MD,,https://www.nps.gov/hatu/
,,Harriet Tubman Underground Railroad,NHP,NPS,MD,,https://www.nps.gov/hatu/index.htm
